Feature,PC1_loading,PC2_loading
past_mh_disorder,0.30018417901336014,0.24909085393624195
mh_diagnostic_medical_pro,0.2879184990960736,0.2606181345602809
current_mh_disorder,0.2858957493773366,0.2083047829127375
mh_treatment,0.2852450132636486,0.25270240609746075
discuss_mh_with_employer_negative,0.28321185243096664,0.24200279574022437
family_history_0.0,0.22688575505291905,0.1659147700201027
family_history_1.0,0.21797161680830593,0.20728508010542124
negative_viewed_coworkers,0.21581076201036853,0.20566268558081544
bad_response_previous_work,0.21204830243490802,0.0017438994508016162
career_impact,0.20836641348593868,0.2395693008838803
discuss_ph_with_employer_negative,0.19660726221438865,0.152365121514521
observed_negative_consequences_coworkers,0.19390120730038804,0.05095237043173648
talk_mh_interview,0.19247809268736438,0.14829213749981657
gender_Male,0.17699115227482212,0.10552329751278618
ask_mh_leave,0.172776856305225,0.18205804841742534
gender_Female,0.16573537018954632,0.09248700480828446
employer_mh_as_serious_as_ph,0.16283992156235394,0.192474161102898
discuss_mh_with_manager,0.1620561530502054,0.30417723700868415
self_employed_1,0.1336585975299366,0.019485862676594436
self_employed_0,0.13365859752993656,0.019485862676594447
ph_interview,0.11203463064836841,0.13256438915951957
know_mh_benefits,0.10087983460655692,0.16203727357961487
discuss_mh_with_coworkers,0.10061683333447585,0.2877280528405846
not_treated_mh_interfere_work,0.09260395455500346,0.0443559392005512
age,0.06689373669558896,0.018014927827980805
employer_discussed_mh,0.0641401544991228,0.17269721283666273
gender_Non-binary/Other,0.05011664619485961,0.050247546028318955
tech_organization_0.0,0.03897820985557226,0.04290517742902426
tech_organization_1.0,0.03897820985557223,0.04290517742902425
share_family_friends,0.03835619002675552,0.2263186238524265
anonymous_mh_employer_resources,0.03392692600147689,0.11908212042696663
treated_mh_interfere_work,0.0250127662497055,0.020773804143910335
employer_mh_resources,0.020160412111303875,0.1681341436336145
remote_worker,0.006370210518689309,0.10408247947883104
company_size,0.0030209461628080405,0.022235255762964107
family_history_0.5,0.0029027800903016166,0.06303876508414341
employer_mh_benefits,0.002221949274925179,0.1694722479639227
